"STATISTIC Label","Quarter","Age Group","ICD 10 Diagnostic Group","UNIT","VALUE"
"Deaths Registered","2010Q1","Under 1 year","Provisional assignment of new diseases of uncertain etiology or emergency use (U00-U49)","Number",""
"Deaths Registered","2010Q1","1 - 4 years","Total deaths (A00-Y89)","Number","13"
"Deaths Registered","2010Q1","1 - 4 years","Infectious and parasitic diseases (A00-B99)","Number","1"
"Deaths Registered","2010Q1","1 - 4 years","Neoplasms (C00-D48)","Number","3"
"Deaths Registered","2010Q1","1 - 4 years","Malignant neoplasms (C00-C97)","Number","3"
"Deaths Registered","2010Q1","1 - 4 years","Diseases of the blood and blood-forming organs, immunological disorders (D50-D89)","Number","0"
"Deaths Registered","2010Q1","1 - 4 years","Endocrine, Nutritional and metabolic diseases (E00-E90)","Number","2"
"Deaths Registered","2010Q1","1 - 4 years","Mental and behavioural disorders (F00-F99)","Number","0"
"Deaths Registered","2010Q1","1 - 4 years","Diseases of the nervous system and the sense organs (G00-H95)","Number","3"
"Deaths Registered","2010Q1","1 - 4 years","Diseases of the Circulatory System (I00-I99)","Number","0"
"Deaths Registered","2010Q1","1 - 4 years","Diseases of the Respiratory system (J00-J99)","Number","0"
"Deaths Registered","2010Q1","1 - 4 years","Diseases of the Digestive system (K00-K93)","Number","0"
"Deaths Registered","2010Q1","1 - 4 years","Diseases of the skin and subcutaneous tissue (L00-L99)","Number","0"
"Deaths Registered","2010Q1","1 - 4 years","Diseases of the musculoskeletal system/connective tissue (M00-M99)","Number","0"
"Deaths Registered","2010Q1","1 - 4 years","Diseases of the genitourinary system (N00-N99)","Number","0"
"Deaths Registered","2010Q1","1 - 4 years","Complications of pregnancy, childbirth and puerperium (O00-O99)","Number","0"
"Deaths Registered","2010Q1","1 - 4 years","Certain conditions originating in the perinatal period (P00-P96)","Number","0"
"Deaths Registered","2010Q1","1 - 4 years","Congenital malformations and chromosomal abnomalities (Q00-Q99)","Number","4"
"Deaths Registered","2010Q1","1 - 4 years","Symptoms, signs, abnormal findings, ill-defined causes (R00-R99)","Number","1"
"Deaths Registered","2010Q1","1 - 4 years","External causes of injury and poisoning (V01-Y89)","Number","2"
"Deaths Registered","2010Q1","1 - 4 years","COVID-19, virus identified and virus unidentified (U07)","Number",""
"Deaths Registered","2010Q1","1 - 4 years","COVID-19 vaccines causing adverse effects in therapeutic use (U12)","Number",""
"Deaths Registered","2010Q1","1 - 4 years","Provisional assignment of new diseases of uncertain etiology or emergency use (U00-U49)","Number",""
"Deaths Registered","2010Q1","5 - 14 years","Total deaths (A00-Y89)","Number","15"
"Deaths Registered","2010Q1","5 - 14 years","Infectious and parasitic diseases (A00-B99)","Number","0"
"Deaths Registered","2010Q1","5 - 14 years","Neoplasms (C00-D48)","Number","3"
"Deaths Registered","2010Q1","5 - 14 years","Malignant neoplasms (C00-C97)","Number","2"
"Deaths Registered","2010Q1","5 - 14 years","Diseases of the blood and blood-forming organs, immunological disorders (D50-D89)","Number","0"
"Deaths Registered","2010Q1","5 - 14 years","Endocrine, Nutritional and metabolic diseases (E00-E90)","Number","2"
"Deaths Registered","2010Q1","5 - 14 years","Mental and behavioural disorders (F00-F99)","Number","0"
"Deaths Registered","2010Q1","5 - 14 years","Diseases of the nervous system and the sense organs (G00-H95)","Number","5"
"Deaths Registered","2010Q1","5 - 14 years","Diseases of the Circulatory System (I00-I99)","Number","1"
"Deaths Registered","2010Q1","5 - 14 years","Diseases of the Respiratory system (J00-J99)","Number","1"
"Deaths Registered","2010Q1","5 - 14 years","Diseases of the Digestive system (K00-K93)","Number","0"
"Deaths Registered","2010Q1","5 - 14 years","Diseases of the skin and subcutaneous tissue (L00-L99)","Number","0"
"Deaths Registered","2010Q1","5 - 14 years","Diseases of the musculoskeletal system/connective tissue (M00-M99)","Number","0"
"Deaths Registered","2010Q1","5 - 14 years","Diseases of the genitourinary system (N00-N99)","Number","0"
"Deaths Registered","2010Q1","5 - 14 years","Complications of pregnancy, childbirth and puerperium (O00-O99)","Number","0"
"Deaths Registered","2010Q1","5 - 14 years","Certain conditions originating in the perinatal period (P00-P96)","Number","0"
"Deaths Registered","2010Q1","5 - 14 years","Congenital malformations and chromosomal abnomalities (Q00-Q99)","Number","1"
"Deaths Registered","2010Q1","5 - 14 years","Symptoms, signs, abnormal findings, ill-defined causes (R00-R99)","Number","0"
"Deaths Registered","2010Q1","5 - 14 years","External causes of injury and poisoning (V01-Y89)","Number","2"
"Deaths Registered","2010Q1","5 - 14 years","COVID-19, virus identified and virus unidentified (U07)","Number",""
"Deaths Registered","2010Q1","5 - 14 years","COVID-19 vaccines causing adverse effects in therapeutic use (U12)","Number",""
"Deaths Registered","2010Q1","5 - 14 years","Provisional assignment of new diseases of uncertain etiology or emergency use (U00-U49)","Number",""
"Deaths Registered","2010Q1","15 - 24 years","Total deaths (A00-Y89)","Number","54"
"Deaths Registered","2010Q1","15 - 24 years","Infectious and parasitic diseases (A00-B99)","Number","2"
"Deaths Registered","2010Q1","15 - 24 years","Neoplasms (C00-D48)","Number","4"
"Deaths Registered","2010Q1","15 - 24 years","Malignant neoplasms (C00-C97)","Number","4"
"Deaths Registered","2010Q1","15 - 24 years","Diseases of the blood and blood-forming organs, immunological disorders (D50-D89)","Number","0"
"Deaths Registered","2010Q1","15 - 24 years","Endocrine, Nutritional and metabolic diseases (E00-E90)","Number","2"
"Deaths Registered","2010Q1","15 - 24 years","Mental and behavioural disorders (F00-F99)","Number","0"
"Deaths Registered","2010Q1","15 - 24 years","Diseases of the nervous system and the sense organs (G00-H95)","Number","3"
"Deaths Registered","2010Q1","15 - 24 years","Diseases of the Circulatory System (I00-I99)","Number","1"
"Deaths Registered","2010Q1","15 - 24 years","Diseases of the Respiratory system (J00-J99)","Number","1"
"Deaths Registered","2010Q1","15 - 24 years","Diseases of the Digestive system (K00-K93)","Number","1"
"Deaths Registered","2010Q1","15 - 24 years","Diseases of the skin and subcutaneous tissue (L00-L99)","Number","0"
"Deaths Registered","2010Q1","15 - 24 years","Diseases of the musculoskeletal system/connective tissue (M00-M99)","Number","0"
"Deaths Registered","2010Q1","15 - 24 years","Diseases of the genitourinary system (N00-N99)","Number","0"
"Deaths Registered","2010Q1","15 - 24 years","Complications of pregnancy, childbirth and puerperium (O00-O99)","Number","0"
"Deaths Registered","2010Q1","15 - 24 years","Certain conditions originating in the perinatal period (P00-P96)","Number","0"
"Deaths Registered","2010Q1","15 - 24 years","Congenital malformations and chromosomal abnomalities (Q00-Q99)","Number","0"
"Deaths Registered","2010Q1","15 - 24 years","Symptoms, signs, abnormal findings, ill-defined causes (R00-R99)","Number","0"
"Deaths Registered","2010Q1","15 - 24 years","External causes of injury and poisoning (V01-Y89)","Number","40"
"Deaths Registered","2010Q1","15 - 24 years","COVID-19, virus identified and virus unidentified (U07)","Number",""
"Deaths Registered","2010Q1","15 - 24 years","COVID-19 vaccines causing adverse effects in therapeutic use (U12)","Number",""
"Deaths Registered","2010Q1","15 - 24 years","Provisional assignment of new diseases of uncertain etiology or emergency use (U00-U49)","Number",""
"Deaths Registered","2010Q1","25 - 34 years","Total deaths (A00-Y89)","Number","112"
"Deaths Registered","2010Q1","25 - 34 years","Infectious and parasitic diseases (A00-B99)","Number","1"
"Deaths Registered","2010Q1","25 - 34 years","Neoplasms (C00-D48)","Number","19"
"Deaths Registered","2010Q1","25 - 34 years","Malignant neoplasms (C00-C97)","Number","19"
"Deaths Registered","2010Q1","25 - 34 years","Diseases of the blood and blood-forming organs, immunological disorders (D50-D89)","Number","0"
"Deaths Registered","2010Q1","25 - 34 years","Endocrine, Nutritional and metabolic diseases (E00-E90)","Number","5"
"Deaths Registered","2010Q1","25 - 34 years","Mental and behavioural disorders (F00-F99)","Number","0"
"Deaths Registered","2010Q1","25 - 34 years","Diseases of the nervous system and the sense organs (G00-H95)","Number","7"
"Deaths Registered","2010Q1","25 - 34 years","Diseases of the Circulatory System (I00-I99)","Number","6"
"Deaths Registered","2010Q1","25 - 34 years","Diseases of the Respiratory system (J00-J99)","Number","2"
"Deaths Registered","2010Q1","25 - 34 years","Diseases of the Digestive system (K00-K93)","Number","3"
"Deaths Registered","2010Q1","25 - 34 years","Diseases of the skin and subcutaneous tissue (L00-L99)","Number","0"
"Deaths Registered","2010Q1","25 - 34 years","Diseases of the musculoskeletal system/connective tissue (M00-M99)","Number","0"
"Deaths Registered","2010Q1","25 - 34 years","Diseases of the genitourinary system (N00-N99)","Number","0"
"Deaths Registered","2010Q1","25 - 34 years","Complications of pregnancy, childbirth and puerperium (O00-O99)","Number","0"
"Deaths Registered","2010Q1","25 - 34 years","Certain conditions originating in the perinatal period (P00-P96)","Number","0"
"Deaths Registered","2010Q1","25 - 34 years","Congenital malformations and chromosomal abnomalities (Q00-Q99)","Number","0"
"Deaths Registered","2010Q1","25 - 34 years","Symptoms, signs, abnormal findings, ill-defined causes (R00-R99)","Number","2"
"Deaths Registered","2010Q1","25 - 34 years","External causes of injury and poisoning (V01-Y89)","Number","67"
"Deaths Registered","2010Q1","25 - 34 years","COVID-19, virus identified and virus unidentified (U07)","Number",""
"Deaths Registered","2010Q1","25 - 34 years","COVID-19 vaccines causing adverse effects in therapeutic use (U12)","Number",""
"Deaths Registered","2010Q1","25 - 34 years","Provisional assignment of new diseases of uncertain etiology or emergency use (U00-U49)","Number",""
"Deaths Registered","2010Q1","35 - 44 years","Total deaths (A00-Y89)","Number","175"
"Deaths Registered","2010Q1","35 - 44 years","Infectious and parasitic diseases (A00-B99)","Number","3"
"Deaths Registered","2010Q1","35 - 44 years","Neoplasms (C00-D48)","Number","46"
"Deaths Registered","2010Q1","35 - 44 years","Malignant neoplasms (C00-C97)","Number","46"
"Deaths Registered","2010Q1","35 - 44 years","Diseases of the blood and blood-forming organs, immunological disorders (D50-D89)","Number","0"
"Deaths Registered","2010Q1","35 - 44 years","Endocrine, Nutritional and metabolic diseases (E00-E90)","Number","4"
"Deaths Registered","2010Q1","35 - 44 years","Mental and behavioural disorders (F00-F99)","Number","0"
"Deaths Registered","2010Q1","35 - 44 years","Diseases of the nervous system and the sense organs (G00-H95)","Number","4"
"Deaths Registered","2010Q1","35 - 44 years","Diseases of the Circulatory System (I00-I99)","Number","29"
"Deaths Registered","2010Q1","35 - 44 years","Diseases of the Respiratory system (J00-J99)","Number","4"
"Deaths Registered","2010Q1","35 - 44 years","Diseases of the Digestive system (K00-K93)","Number","12"
"Deaths Registered","2010Q1","35 - 44 years","Diseases of the skin and subcutaneous tissue (L00-L99)","Number","0"
"Deaths Registered","2010Q1","35 - 44 years","Diseases of the musculoskeletal system/connective tissue (M00-M99)","Number","1"
"Deaths Registered","2010Q1","35 - 44 years","Diseases of the genitourinary system (N00-N99)","Number","0"
"Deaths Registered","2010Q1","35 - 44 years","Complications of pregnancy, childbirth and puerperium (O00-O99)","Number","0"
"Deaths Registered","2010Q1","35 - 44 years","Certain conditions originating in the perinatal period (P00-P96)","Number","0"
"Deaths Registered","2010Q1","35 - 44 years","Congenital malformations and chromosomal abnomalities (Q00-Q99)","Number","5"
"Deaths Registered","2010Q1","35 - 44 years","Symptoms, signs, abnormal findings, ill-defined causes (R00-R99)","Number","4"
"Deaths Registered","2010Q1","35 - 44 years","External causes of injury and poisoning (V01-Y89)","Number","63"
"Deaths Registered","2010Q1","35 - 44 years","COVID-19, virus identified and virus unidentified (U07)","Number",""
"Deaths Registered","2010Q1","35 - 44 years","COVID-19 vaccines causing adverse effects in therapeutic use (U12)","Number",""
"Deaths Registered","2010Q1","35 - 44 years","Provisional assignment of new diseases of uncertain etiology or emergency use (U00-U49)","Number",""
"Deaths Registered","2010Q1","45 - 54 years","Total deaths (A00-Y89)","Number","373"
"Deaths Registered","2010Q1","45 - 54 years","Infectious and parasitic diseases (A00-B99)","Number","5"
"Deaths Registered","2010Q1","45 - 54 years","Neoplasms (C00-D48)","Number","152"
"Deaths Registered","2010Q1","45 - 54 years","Malignant neoplasms (C00-C97)","Number","150"
"Deaths Registered","2010Q1","45 - 54 years","Diseases of the blood and blood-forming organs, immunological disorders (D50-D89)","Number","0"
"Deaths Registered","2010Q1","45 - 54 years","Endocrine, Nutritional and metabolic diseases (E00-E90)","Number","6"
"Deaths Registered","2010Q1","45 - 54 years","Mental and behavioural disorders (F00-F99)","Number","3"
"Deaths Registered","2010Q1","45 - 54 years","Diseases of the nervous system and the sense organs (G00-H95)","Number","7"
"Deaths Registered","2010Q1","45 - 54 years","Diseases of the Circulatory System (I00-I99)","Number","100"
"Deaths Registered","2010Q1","45 - 54 years","Diseases of the Respiratory system (J00-J99)","Number","12"
"Deaths Registered","2010Q1","45 - 54 years","Diseases of the Digestive system (K00-K93)","Number","35"
"Deaths Registered","2010Q1","45 - 54 years","Diseases of the skin and subcutaneous tissue (L00-L99)","Number","0"
"Deaths Registered","2010Q1","45 - 54 years","Diseases of the musculoskeletal system/connective tissue (M00-M99)","Number","2"
"Deaths Registered","2010Q1","45 - 54 years","Diseases of the genitourinary system (N00-N99)","Number","1"
"Deaths Registered","2010Q1","45 - 54 years","Complications of pregnancy, childbirth and puerperium (O00-O99)","Number","0"
"Deaths Registered","2010Q1","45 - 54 years","Certain conditions originating in the perinatal period (P00-P96)","Number","0"
"Deaths Registered","2010Q1","45 - 54 years","Congenital malformations and chromosomal abnomalities (Q00-Q99)","Number","4"
"Deaths Registered","2010Q1","45 - 54 years","Symptoms, signs, abnormal findings, ill-defined causes (R00-R99)","Number","1"
"Deaths Registered","2010Q1","45 - 54 years","External causes of injury and poisoning (V01-Y89)","Number","45"
"Deaths Registered","2010Q1","45 - 54 years","COVID-19, virus identified and virus unidentified (U07)","Number",""
"Deaths Registered","2010Q1","45 - 54 years","COVID-19 vaccines causing adverse effects in therapeutic use (U12)","Number",""
"Deaths Registered","2010Q1","45 - 54 years","Provisional assignment of new diseases of uncertain etiology or emergency use (U00-U49)","Number",""
"Deaths Registered","2010Q1","55 - 64 years","Total deaths (A00-Y89)","Number","783"
"Deaths Registered","2010Q1","55 - 64 years","Infectious and parasitic diseases (A00-B99)","Number","7"
"Deaths Registered","2010Q1","55 - 64 years","Neoplasms (C00-D48)","Number","382"
"Deaths Registered","2010Q1","55 - 64 years","Malignant neoplasms (C00-C97)","Number","379"
"Deaths Registered","2010Q1","55 - 64 years","Diseases of the blood and blood-forming organs, immunological disorders (D50-D89)","Number","1"
"Deaths Registered","2010Q1","55 - 64 years","Endocrine, Nutritional and metabolic diseases (E00-E90)","Number","16"
"Deaths Registered","2010Q1","55 - 64 years","Mental and behavioural disorders (F00-F99)","Number","4"
"Deaths Registered","2010Q1","55 - 64 years","Diseases of the nervous system and the sense organs (G00-H95)","Number","23"
"Deaths Registered","2010Q1","55 - 64 years","Diseases of the Circulatory System (I00-I99)","Number","188"
"Deaths Registered","2010Q1","55 - 64 years","Diseases of the Respiratory system (J00-J99)","Number","50"
"Deaths Registered","2010Q1","55 - 64 years","Diseases of the Digestive system (K00-K93)","Number","40"
"Deaths Registered","2010Q1","55 - 64 years","Diseases of the skin and subcutaneous tissue (L00-L99)","Number","0"
"Deaths Registered","2010Q1","55 - 64 years","Diseases of the musculoskeletal system/connective tissue (M00-M99)","Number","4"
"Deaths Registered","2010Q1","55 - 64 years","Diseases of the genitourinary system (N00-N99)","Number","9"
"Deaths Registered","2010Q1","55 - 64 years","Complications of pregnancy, childbirth and puerperium (O00-O99)","Number","0"
"Deaths Registered","2010Q1","55 - 64 years","Certain conditions originating in the perinatal period (P00-P96)","Number","0"
"Deaths Registered","2010Q1","55 - 64 years","Congenital malformations and chromosomal abnomalities (Q00-Q99)","Number","6"
"Deaths Registered","2010Q1","55 - 64 years","Symptoms, signs, abnormal findings, ill-defined causes (R00-R99)","Number","0"
"Deaths Registered","2010Q1","55 - 64 years","External causes of injury and poisoning (V01-Y89)","Number","53"
"Deaths Registered","2010Q1","55 - 64 years","COVID-19, virus identified and virus unidentified (U07)","Number",""
"Deaths Registered","2010Q1","55 - 64 years","COVID-19 vaccines causing adverse effects in therapeutic use (U12)","Number",""
"Deaths Registered","2010Q1","55 - 64 years","Provisional assignment of new diseases of uncertain etiology or emergency use (U00-U49)","Number",""
"Deaths Registered","2010Q1","65 - 74 years","Total deaths (A00-Y89)","Number","1343"
"Deaths Registered","2010Q1","65 - 74 years","Infectious and parasitic diseases (A00-B99)","Number","13"
"Deaths Registered","2010Q1","65 - 74 years","Neoplasms (C00-D48)","Number","572"
"Deaths Registered","2010Q1","65 - 74 years","Malignant neoplasms (C00-C97)","Number","562"
"Deaths Registered","2010Q1","65 - 74 years","Diseases of the blood and blood-forming organs, immunological disorders (D50-D89)","Number","9"
"Deaths Registered","2010Q1","65 - 74 years","Endocrine, Nutritional and metabolic diseases (E00-E90)","Number","24"
"Deaths Registered","2010Q1","65 - 74 years","Mental and behavioural disorders (F00-F99)","Number","9"
"Deaths Registered","2010Q1","65 - 74 years","Diseases of the nervous system and the sense organs (G00-H95)","Number","37"
"Deaths Registered","2010Q1","65 - 74 years","Diseases of the Circulatory System (I00-I99)","Number","413"
"Deaths Registered","2010Q1","65 - 74 years","Diseases of the Respiratory system (J00-J99)","Number","159"
"Deaths Registered","2010Q1","65 - 74 years","Diseases of the Digestive system (K00-K93)","Number","55"
"Deaths Registered","2010Q1","65 - 74 years","Diseases of the skin and subcutaneous tissue (L00-L99)","Number","2"
"Deaths Registered","2010Q1","65 - 74 years","Diseases of the musculoskeletal system/connective tissue (M00-M99)","Number","8"
"Deaths Registered","2010Q1","65 - 74 years","Diseases of the genitourinary system (N00-N99)","Number","17"
"Deaths Registered","2010Q1","65 - 74 years","Complications of pregnancy, childbirth and puerperium (O00-O99)","Number","0"
"Deaths Registered","2010Q1","65 - 74 years","Certain conditions originating in the perinatal period (P00-P96)","Number","0"
"Deaths Registered","2010Q1","65 - 74 years","Congenital malformations and chromosomal abnomalities (Q00-Q99)","Number","0"
"Deaths Registered","2010Q1","65 - 74 years","Symptoms, signs, abnormal findings, ill-defined causes (R00-R99)","Number","1"
"Deaths Registered","2010Q1","65 - 74 years","External causes of injury and poisoning (V01-Y89)","Number","24"
"Deaths Registered","2010Q1","65 - 74 years","COVID-19, virus identified and virus unidentified (U07)","Number",""
"Deaths Registered","2010Q1","65 - 74 years","COVID-19 vaccines causing adverse effects in therapeutic use (U12)","Number",""
"Deaths Registered","2010Q1","65 - 74 years","Provisional assignment of new diseases of uncertain etiology or emergency use (U00-U49)","Number",""
"Deaths Registered","2010Q1","75 - 84 years","Total deaths (A00-Y89)","Number","2503"
"Deaths Registered","2010Q1","75 - 84 years","Infectious and parasitic diseases (A00-B99)","Number","28"
"Deaths Registered","2010Q1","75 - 84 years","Neoplasms (C00-D48)","Number","668"
"Deaths Registered","2010Q1","75 - 84 years","Malignant neoplasms (C00-C97)","Number","646"
"Deaths Registered","2010Q1","75 - 84 years","Diseases of the blood and blood-forming organs, immunological disorders (D50-D89)","Number","7"
"Deaths Registered","2010Q1","75 - 84 years","Endocrine, Nutritional and metabolic diseases (E00-E90)","Number","68"
"Deaths Registered","2010Q1","75 - 84 years","Mental and behavioural disorders (F00-F99)","Number","71"
"Deaths Registered","2010Q1","75 - 84 years","Diseases of the nervous system and the sense organs (G00-H95)","Number","98"
"Deaths Registered","2010Q1","75 - 84 years","Diseases of the Circulatory System (I00-I99)","Number","947"
"Deaths Registered","2010Q1","75 - 84 years","Diseases of the Respiratory system (J00-J99)","Number","376"
"Deaths Registered","2010Q1","75 - 84 years","Diseases of the Digestive system (K00-K93)","Number","95"
"Deaths Registered","2010Q1","75 - 84 years","Diseases of the skin and subcutaneous tissue (L00-L99)","Number","2"
"Deaths Registered","2010Q1","75 - 84 years","Diseases of the musculoskeletal system/connective tissue (M00-M99)","Number","33"
"Deaths Registered","2010Q1","75 - 84 years","Diseases of the genitourinary system (N00-N99)","Number","71"
"Deaths Registered","2010Q1","75 - 84 years","Complications of pregnancy, childbirth and puerperium (O00-O99)","Number","0"
"Deaths Registered","2010Q1","75 - 84 years","Certain conditions originating in the perinatal period (P00-P96)","Number","0"
"Deaths Registered","2010Q1","75 - 84 years","Congenital malformations and chromosomal abnomalities (Q00-Q99)","Number","2"
"Deaths Registered","2010Q1","75 - 84 years","Symptoms, signs, abnormal findings, ill-defined causes (R00-R99)","Number","1"
"Deaths Registered","2010Q1","75 - 84 years","External causes of injury and poisoning (V01-Y89)","Number","36"
"Deaths Registered","2010Q1","75 - 84 years","COVID-19, virus identified and virus unidentified (U07)","Number",""
"Deaths Registered","2010Q1","75 - 84 years","COVID-19 vaccines causing adverse effects in therapeutic use (U12)","Number",""
"Deaths Registered","2010Q1","75 - 84 years","Provisional assignment of new diseases of uncertain etiology or emergency use (U00-U49)","Number",""
"Deaths Registered","2010Q1","85 years and over","Total deaths (A00-Y89)","Number","2573"
"Deaths Registered","2010Q1","85 years and over","Infectious and parasitic diseases (A00-B99)","Number","21"
"Deaths Registered","2010Q1","85 years and over","Neoplasms (C00-D48)","Number","374"
"Deaths Registered","2010Q1","85 years and over","Malignant neoplasms (C00-C97)","Number","367"
"Deaths Registered","2010Q1","85 years and over","Diseases of the blood and blood-forming organs, immunological disorders (D50-D89)","Number","5"
"Deaths Registered","2010Q1","85 years and over","Endocrine, Nutritional and metabolic diseases (E00-E90)","Number","82"
"Deaths Registered","2010Q1","85 years and over","Mental and behavioural disorders (F00-F99)","Number","120"
"Deaths Registered","2010Q1","85 years and over","Diseases of the nervous system and the sense organs (G00-H95)","Number","103"
"Deaths Registered","2010Q1","85 years and over","Diseases of the Circulatory System (I00-I99)","Number","1141"
"Deaths Registered","2010Q1","85 years and over","Diseases of the Respiratory system (J00-J99)","Number","474"
"Deaths Registered","2010Q1","85 years and over","Diseases of the Digestive system (K00-K93)","Number","80"
"Deaths Registered","2010Q1","85 years and over","Diseases of the skin and subcutaneous tissue (L00-L99)","Number","10"
"Deaths Registered","2010Q1","85 years and over","Diseases of the musculoskeletal system/connective tissue (M00-M99)","Number","18"
"Deaths Registered","2010Q1","85 years and over","Diseases of the genitourinary system (N00-N99)","Number","96"
"Deaths Registered","2010Q1","85 years and over","Complications of pregnancy, childbirth and puerperium (O00-O99)","Number","0"
"Deaths Registered","2010Q1","85 years and over","Certain conditions originating in the perinatal period (P00-P96)","Number","0"
"Deaths Registered","2010Q1","85 years and over","Congenital malformations and chromosomal abnomalities (Q00-Q99)","Number","2"
"Deaths Registered","2010Q1","85 years and over","Symptoms, signs, abnormal findings, ill-defined causes (R00-R99)","Number","7"
"Deaths Registered","2010Q1","85 years and over","External causes of injury and poisoning (V01-Y89)","Number","40"
"Deaths Registered","2010Q1","85 years and over","COVID-19, virus identified and virus unidentified (U07)","Number",""
"Deaths Registered","2010Q1","85 years and over","COVID-19 vaccines causing adverse effects in therapeutic use (U12)","Number",""
"Deaths Registered","2010Q1","85 years and over","Provisional assignment of new diseases of uncertain etiology or emergency use (U00-U49)","Number",""
"Deaths Registered","2010Q1","All ages","Total deaths (A00-Y89)","Number","8006"
"Deaths Registered","2010Q1","All ages","Infectious and parasitic diseases (A00-B99)","Number","81"
"Deaths Registered","2010Q1","All ages","Neoplasms (C00-D48)","Number","2223"
"Deaths Registered","2010Q1","All ages","Malignant neoplasms (C00-C97)","Number","2178"
"Deaths Registered","2010Q1","All ages","Diseases of the blood and blood-forming organs, immunological disorders (D50-D89)","Number","22"
"Deaths Registered","2010Q1","All ages","Endocrine, Nutritional and metabolic diseases (E00-E90)","Number","212"
"Deaths Registered","2010Q1","All ages","Mental and behavioural disorders (F00-F99)","Number","207"
"Deaths Registered","2010Q1","All ages","Diseases of the nervous system and the sense organs (G00-H95)","Number","292"
"Deaths Registered","2010Q1","All ages","Diseases of the Circulatory System (I00-I99)","Number","2827"
"Deaths Registered","2010Q1","All ages","Diseases of the Respiratory system (J00-J99)","Number","1081"
"Deaths Registered","2010Q1","All ages","Diseases of the Digestive system (K00-K93)","Number","321"
"Deaths Registered","2010Q1","All ages","Diseases of the skin and subcutaneous tissue (L00-L99)","Number","14"
"Deaths Registered","2010Q1","All ages","Diseases of the musculoskeletal system/connective tissue (M00-M99)","Number","66"
"Deaths Registered","2010Q1","All ages","Diseases of the genitourinary system (N00-N99)","Number","196"
"Deaths Registered","2010Q1","All ages","Complications of pregnancy, childbirth and puerperium (O00-O99)","Number","0"
"Deaths Registered","2010Q1","All ages","Certain conditions originating in the perinatal period (P00-P96)","Number","29"
"Deaths Registered","2010Q1","All ages","Congenital malformations and chromosomal abnomalities (Q00-Q99)","Number","47"
"Deaths Registered","2010Q1","All ages","Symptoms, signs, abnormal findings, ill-defined causes (R00-R99)","Number","18"
"Deaths Registered","2010Q1","All ages","External causes of injury and poisoning (V01-Y89)","Number","373"
"Deaths Registered","2010Q1","All ages","COVID-19, virus identified and virus unidentified (U07)","Number",""
"Deaths Registered","2010Q1","All ages","COVID-19 vaccines causing adverse effects in therapeutic use (U12)","Number",""
"Deaths Registered","2010Q1","All ages","Provisional assignment of new diseases of uncertain etiology or emergency use (U00-U49)","Number",""
"Deaths Registered","2010Q2","Under 1 year","Total deaths (A00-Y89)","Number","84"
"Deaths Registered","2010Q2","Under 1 year","Infectious and parasitic diseases (A00-B99)","Number","1"
"Deaths Registered","2010Q2","Under 1 year","Neoplasms (C00-D48)","Number","0"
"Deaths Registered","2010Q2","Under 1 year","Malignant neoplasms (C00-C97)","Number","0"
"Deaths Registered","2010Q2","Under 1 year","Diseases of the blood and blood-forming organs, immunological disorders (D50-D89)","Number","0"
